# Personnage,Photo,Prénom,Nom,Village,Parti politique,Sexe,Age,Métier,Alibi,Alibi_EN,Indice physique en sa possession,Personnage essentiel?
11,photo/gee_me_018.jpg,Anne-Laure,Nanchen,Icogne,PS,F,45,Présidente d'Icogne,"Femme de Stéphane Nanchen
18h00 - 20h00: Longue session de méditation + yoga
20h00 - 21h00: Promener son Akita, Icogne - Lens aller-retour via le Chemin de la Messe en croisant uniquement 2 fois Béatrice qui fait le chemin inverse","Wife of Stéphane Nanchen
6:00 p.m. - 8:00 p.m.: Long meditation + yoga session
8:00 p.m. - 9:00 p.m.: Walking your Akita, Icogne - Lens round trip via the Chemin de la Messe, only meeting Béatrice twice who goes the opposite way",,X
12,photo/gee_me_026.jpg,David,Nanchen,Randogne,Le Centre,M,25,Développeur en Informatique,"18h00 - 18h30: Travail à Sion, caisse de compensation
18h30 - 18h50: Se rendre à Sierre
18h50 - 19h00: Se parquer au Technopôle
19h00 - 20h00: Conférence ""La protection des données à l'ère de l'IA""
20h00 - 20h30: Networking
20h30 - 21h00: McDonalds 
21h00 - 21h30: Rentrer à Randogne ","6:00 p.m. - 6:30 p.m.: Work in Sion, compensation fund
6:30 p.m. - 6:50 p.m.: Go to Sierre
6:50 p.m. - 7:00 p.m.: Park at the Technopôle
7:00 p.m. - 8:00 p.m.: Conference “Data protection in the age of AI”
8:00 p.m. - 8:30 p.m.: Networking
8:30 p.m. - 9:00 p.m.: McDonalds 
9:00 p.m. - 9:30 p.m.: Return to Randogne ",,
13,photo/gee_me_021.jpg,Isabelle,Nanchen,Icogne,PS,F,40,Fermière @ Les Poules Icogne (oeufs),"18h00 - 19h00: Travail à la Ferme
19h00 - 19h20: Aller chercher les chevaux
19h20 - 20h20: Promenade de nuit avec ses 2 chevaux (route de la ferme)
20h20 - 20h50: Lasagne surgelé à la maison
20h50 - 21h30: Lecture","6:00 p.m. - 7:00 p.m.: Farm work
7:00 p.m. - 7:20 p.m.: Pick up the horses
7:20 p.m. - 8:20 p.m.: Night walk with your 2 horses (farm road)
8:20 p.m. - 8:50 p.m.: Frozen lasagna at home
8:50 p.m. - 9:30 p.m.: Reading",,
14,photo/gee_me_030.jpg,Tristan,Nanchen,Icogne,PLR,M,38,Stay-at-home dad,"Vous êtes un menteur! Il faut raconter votre mensonge, et garder la vérité secrète.

Mari de Danielle Nanchen

MENSONGE
18h00 - 18h30: Donner le biberon au bébé
18h30 - 19h00: Doucher le bébé
19h00 - 20h00: Ménage
20h00 - 21h00: Netflix

VÉRITÉ
18h00 - 19h15: Coucher le bébé très tôt
19h15 - 19h30: Se rendre au Monument
19h30 - 22h00: Boire des verres au monument","You are a liar! You must tell your lie, and keep the truth secret.

Husband of Danielle Nanchen

LIE
6:00 p.m. - 6:30 p.m.: Give the baby a bottle
6:30 p.m. - 7:00 p.m.: Shower the baby
7:00 p.m. - 8:00 p.m.: Housekeeping
8:00 p.m. - 9:00 p.m.: Netflix

TRUTH
6:00 p.m. - 7:15 p.m.: Put the baby to bed very early
7:15 p.m. - 7:30 p.m.: Go to the Monument
7:30 p.m. - 10:00 p.m.: Drinks at the monument",,"MENTEUR - Devait garder les enfants, mais il a été boire des verres "
15,photo/gee_me_022.jpg,Danielle,Nanchen,Icogne,PLR,F,43,Gestionnaire hôtel + présidente du comité de la course du Christ-Roi,"Femme de Tristan Nanchen
18h00 - 20h00: Séance clôture des comptes, administration Hôtel Elite
Très contente d'avoir pu enfin convaincre son mari de s'occuper des enfants pour qu'elle se libère pour cet événement
20h00 - 21h00: Apéro à l'Hôtel Elite, plateau valaisan","Wife of Tristan Nanchen
6:00 p.m. - 8:00 p.m.: Account closing session, Elite Hotel administration
Very happy to have finally been able to convince her husband to take care of the children so that she could free herself for this event
8:00 p.m. - 9:00 p.m.: Aperitif at the Elite Hotel, Valais plateau",Statuts de l'association de la Course,X
16,photo/gee_me_034.jpg,Gaëtan,Nanchen,Mollens,Le Centre,M,34,Chauffeur de bus B421,18h00 - 22h00: Travail,6:00 p.m. - 10:00 p.m.: Work,Carte chauffeur bus B421 (B),X
17,photo/gee_me_028.jpg,Catherine,Emery,Lens,Le Centre,F,33,"Serveuse au Monument, Lens","18h00 - 22h00: Travailler au Monument
Liste des événements notables:
18h51: En débarassant une table, à trouver un ticket de caisse pour des fleurs
Soirée très calme, seulement Tristan Nanchen pendant un long moment au bar, quasiment la totalité du shift (dès 19h30), ainsi que Quentin Bonvin qui est venu boire un café et lire le journal de 18h00 à 20h00. Aussi le boucher du village qui est venu rapidement pour un café en début de shift.
Une seule tablée d'un couple qui mange de 18h30 à 20h30 environ. 
A partir de 20h30, seulement Tristan dans tout le restaurant. Fermeture à 22h00","6:00 p.m. - 10:00 p.m.: Working at the Monument
List of notable events:
6:51 p.m.: While clearing a table, finding a receipt for flowers
Very quiet evening, only Tristan Nanchen for a long time at the bar, almost the entire shift (from 7:30 p.m.), as well as Quentin Bonvin who came to drink coffee and read the newspaper from 6:00 p.m. to 8:00 p.m. Also the village butcher who came quickly for a coffee at the start of the shift.
A single table of a couple eating from approximately 6:30 p.m. to 8:30 p.m. 
From 8:30 p.m., only Tristan in the entire restaurant. Closing at 10:00 p.m.","Ticket de caisse 40.- pour un bouquet de rose, trouvé sur une table à 20h",X
18,photo/gee_me_042.jpg,Bastien,Bagnoud,Icogne,UDC,M,55,Ferblantier,"Mari de Sophie Bagnoud
18h00 - 19h00: Préparer le repas
19h00 - 19h45: Manger avec sa femme, Sophie Bagnoud
19h45 - 21h00: Netflix au lit, regarde la série Breaking Bad","Husband of Sophie Bagnoud
6:00 p.m. - 7:00 p.m.: Prepare the meal
7:00 p.m. - 7:45 p.m.: Eat with his wife, Sophie Bagnoud
7:45 p.m. - 9:00 p.m.: Netflix in bed, watch Breaking Bad",,X
19,photo/gee_me_031.jpg,Martine,Emery,Lens,PLR,F,54,"Propriétaire et gestionnaire du magasin ""Chez Martine""","18h00 - 18h30: Travail au magasin, vu une monitrice de ski en rouge acheter du vin
18h30 - 19h00: Fermeture et rangement
19h00 - 19h05: Rentrer à la maison
19h05 - 19h35: Préparer le repas
19h35 - 20h00: Manger devant le téléjournal
20h00 - 21h00: Lecture","6:00 p.m. - 6:30 p.m.: Working at the store, saw a ski instructor in red buying wine
6:30 p.m. - 7:00 p.m.: Closing and storage
7:00 p.m. - 7:05 p.m.: Go home
7:05 p.m. - 7:35 p.m.: Prepare the meal
7:35 p.m. - 8:00 p.m.: Eat in front of the news
8:00 p.m. - 9:00 p.m.: Reading",,X
20,photo/gee_me_047.jpg,Stéphane,Emery,Lens,Le Centre,M,57,Vigneron,"17h15: Fin du travail à la Cave Mont Bonvin
17h15 - 17h45: Se rendre à l'arrêt de bus ""Chermignon d'en Haut"" à pied
17h48: Monter dans le bus B421 en direction de Sierre
17h52: Sortie à l'arrêt ""Lens, Centre d'Art""
18h00 - 19h30: Apéro au nouveau restaurant ""Le Vieux Chalet""
Choquer et déçu du prix trop élevé de la raclette, 8 CHF!
19h30 - 19h40: Rentrer à la maison
19h40 - 22h00: Vu ""La Grande Vadrouille"" sur RTS 2","5:15 p.m.: End of work at Cave Mont Bonvin
5:15 p.m. - 5:45 p.m.: Go to the “Chermignon d’en Haut” bus stop on foot
5:48 p.m.: Get on the B421 bus towards Sierre
5:52 p.m.: Exit at the “Lens, Center d’Art” stop
6:00 p.m. - 7:30 p.m.: Aperitif at the new restaurant “Le Vieux Chalet”
Shocked and disappointed by the too high price of the raclette, 8 CHF!
7:30 p.m. - 7:40 p.m.: Go home
7:40 p.m. - 10:00 p.m.: Seen “La Grande Vadrouille” on RTS 2",,X
21,photo/gee_me_032.jpg,Hélène,Emery,Lens,MDC,F,63,Apicultrice,"16h00 - 19h30: Lens - Carouge (bouchons)
19h30: Arrivée au Théatre de Carouge
20h00: Début du spectacle ""Le Dindon""
23h00: Dormi sur place au ibis Styles","4:00 p.m. - 7:30 p.m.: Lens - Carouge (traffic jams)
7:30 p.m.: Arrival at the Théatre de Carouge
8:00 p.m.: Start of the show “Le Dindon”
11:00 p.m.: Slept on site at the ibis Styles",,
22,photo/gee_me_051.jpg,Jean-Luc,Emery,Lens,PLR,M,41,Croc mort,"Vous êtes un menteur! Il faut raconter votre mensonge, et garder la vérité secrète.

MENSONGE
18h00 - 19h30: Enterrement Marc Savioz, Sierre
19h30 - 20h00: Rentrer à Lens
20h00 - 21h00: Se faire livrer des sushis
21h00 - 21h30: Lecture

VÉRITÉ
17h00 - 18h30: Enterrement Marc Savioz, Sierre
18h30 - 19h00: Sierre - Moubra
19h00 - 19h05: Rencontre avec Valentin @ Moubra, vente de cannabis
19h10 - 19h15: Rencontre avec Xavier @ Moubra, vente de cannabis
19h15 - 19h30: Rentrer à Lens
19h30 - 20h30: Se faire livrer des sushis
20h30 - 21h30: Lecture","You are a liar! You must tell your lie, and keep the truth secret.

LIE
6:00 p.m. - 7:30 p.m.: Funeral of Marc Savioz, Sierre
7:30 p.m. - 8:00 p.m.: Return to Lens
8:00 p.m. - 9:00 p.m.: Get sushi delivered
9:00 p.m. - 9:30 p.m.: Reading

TRUTH
5:00 p.m. - 6:30 p.m.: Funeral of Marc Savioz, Sierre
6:30 p.m. - 7:00 p.m.: Sierre - Moubra
7:00 p.m. - 7:05 p.m.: Meeting with Valentin @ Moubra, sale of cannabis
7:10 p.m. - 7:15 p.m.: Meeting with Xavier @ Moubra, sale of cannabis
7:15 p.m. - 7:30 p.m.: Return to Lens
7:30 p.m. - 8:30 p.m.: Get sushi delivered
8:30 p.m. - 9:30 p.m.: Reading",,MENTEUR - Dealer
23,photo/gee_me_037.jpg,Jacqueline,Emery,Lens,PS,F,52,Vigneronne,"Femme de Christian Emery
18h00 - 18h30: Visite expo Opale
18h45 - 20h30: Date night (20 ans de mariage) au Monument avec son mari, Christian Emery
20h30 - 20h45: Rentrer à la maison
20h45 - 22h45: Vu Nosferatu au lit","Wife of Christian Emery
6:00 p.m. - 6:30 p.m.: Opal exhibition visit
6:45 p.m. - 8:30 p.m.: Date night (20 years of marriage) at the Monument with her husband, Christian Emery
8:30 p.m. - 8:45 p.m.: Go home
8:45 p.m. - 10:45 p.m.: Seen Nosferatu in bed",,X
24,photo/gee_me_056.jpg,Christian,Emery,Lens,Le Centre,M,54,Professeur,"Mari de Jacqueline Emery
18h00 - 18h20: Fin du travail au Régent International School
18h33: Prendre le bus B353 à Crans-Montana, Zier-Régent
18h42: Sortie à l'arrêt Lens, Poste
18h45 - 20h30: Date night (20 ans de mariage) au Monument avec sa femme, Jacqueline Emery
20h30 - 20h45: Rentrer à la maison
20h45 - 22h45: Vu Nosferatu au lit","Husband of Jacqueline Emery
6:00 p.m. - 6:20 p.m.: End of work at Régent International School
6:33 p.m.: Take bus B353 to Crans-Montana, Zier-Régent
6:42 p.m.: Exit at the Lens, Poste stop
6:45 p.m. - 8:30 p.m.: Date night (20 years of marriage) at the Monument with his wife, Jacqueline Emery
8:30 p.m. - 8:45 p.m.: Go home
8:45 p.m. - 10:45 p.m.: Seen Nosferatu in bed",,X
25,photo/gee_me_041.jpg,Carla,Bonvin,Lens,PS,F,40,"Comptable, membre du board de l'Hôtel Elite","18h00 - 20h00: Séance clôture des comptes, administration Hôtel Elite
20h00 - 21h00: Apéro à l'Hôtel Elite, plateau valaisan","6:00 p.m. - 8:00 p.m.: Account closing session, Elite Hotel administration
8:00 p.m. - 9:00 p.m.: Aperitif at the Elite Hotel, Valais plateau",,
26,photo/gee_me_059.jpg,Quentin,Bonvin,Lens,PLR,M,36,Agent Immobilier @ LIVIN'CRANS Sàrl,"18h00 - 20h00: Café au Monument en train de préparer l'acte de vente de la Penthouse de Luxe de Crans, qui sera racheté par M. Emery (surprenant: il paie 50% des fonds propres en cash) 
20h00 - 20h05: Rentrer à la maison
20h05 - 21h00: Manger les restes de la veille à la maison","6:00 p.m. - 8:00 p.m.: Café au Monument preparing the deed of sale for the Crans Luxury Penthouse, which will be bought by Mr. Emery (surprising: he pays 50% of the equity in cash) 
8:00 p.m. - 8:05 p.m.: Go home
8:05 p.m. - 9:00 p.m.: Eat leftovers from the day before at home",,X
27,photo/gee_me_045.jpg,Béatrice,Bonvin,Lens,Le Centre,F,43,Photographe,"Fière d'habiter au Chemin de la Scie
18h00 - 18h15: Manger une tartine
18h26: Vu sa voisine, Charlotte, rentrer à la maison
18h18 - 20h00: Préparer son examen de CAS ""Theory and History of Photography""
20h00 - 21h00: Promener son Husky, Lens - Icogne aller-retour via le Chemin de la Messe en croisant uniquement 2 fois Anne-Laure qui fait le chemin inverse","Proud to live in Chemin de la Sawe
6:00 p.m. - 6:15 p.m.: Eat a slice of toast
6:26 p.m.: Saw her neighbor, Charlotte, coming home
6:18 p.m. - 8:00 p.m.: Prepare for your CAS “Theory and History of Photography” exam
8:00 p.m. - 9:00 p.m.: Walking your Husky, Lens - Icogne round trip via the Chemin de la Messe, only meeting Anne-Laure twice who goes the opposite way",,X
28,photo/gee_me_061.jpg,Xavier,Bonvin,Lens,UDC,M,29,Agent à l'Office de Tourisme de Crans-Montana,"Vous êtes un menteur! Il faut raconter votre mensonge, et garder la vérité secrète.

MENSONGE
18h00 - 18h30: Travail
18h30 - 19h20: Boire des verres afterwork @ Beach Club
19h20 - 19h30: Rentrer à la maison, Rte du Bouill
19h30 - 20h00: Ramen à la maison
20h00 - 22h00: PS5, Elder Scrolls

VÉRITÉ
18h00 - 18h30: Travail
18h30 - 19h05: Boire des verres afterwork @ Beach Club
19h10 - 19h15: Rencontre avec Jean-Luc, achat de cannabis
19h15 - 19h20: Moubra - Station-shop Jubin, acheter des ramens
19h20 - 19h30: Rentrer à la maison, Rte du Bouill
19h30 - 20h00: Ramen à la maison
20h00 - 22h00: PS5, Elder Scrolls","You are a liar! You must tell your lie, and keep the truth secret.

LIE
6:00 p.m. - 6:30 p.m.: Work
6:30 p.m. - 7:20 p.m.: Afterwork drinks @ Beach Club
7:20 p.m. - 7:30 p.m.: Return home, Rte du Bouill
7:30 p.m. - 8:00 p.m.: Ramen at home
8:00 p.m. - 10:00 p.m.: PS5, Elder Scrolls

TRUTH
6:00 p.m. - 6:30 p.m.: Work
6:30 p.m. - 7:05 p.m.: Afterwork drinks @ Beach Club
7:10 p.m. - 7:15 p.m.: Meeting with Jean-Luc, purchase of cannabis
7:15 p.m. - 7:20 p.m.: Moubra - Jubin station-shop, buy ramen
7:20 p.m. - 7:30 p.m.: Return home, Rte du Bouill
7:30 p.m. - 8:00 p.m.: Ramen at home
8:00 p.m. - 10:00 p.m.: PS5, Elder Scrolls",,MENTEUR - Consommateur
29,photo/gee_me_046.jpg,Charlotte,Bonvin,Lens,PLR,F,38,Prof de ski,"Vous êtes un menteur! Il faut raconter votre mensonge, et garder la vérité secrète.

Femme de Théodore Bonvin

MENSONGE
18h00 - 20h00: After-ski au Zerodix
20h00 - 21h00: Rentrer à la maison, fait le ménage

VÉRITÉ
18h00 - 18h15: Acheter une bouteille de rouge chez Martine
18h15 - 18h45: Rentrer à la maison, fait le ménage
18h45 - 21h00: Rencontre avec Stéphane Nanchen, à la maison","You are a liar! You must tell your lie, and keep the truth secret.

Wife of Théodore Bonvin

LIE
6:00 p.m. - 8:00 p.m.: After-ski at Zerodix
8:00 p.m. - 9:00 p.m.: Come home, clean up

TRUTH
6:00 p.m. - 6:15 p.m.: Buy a bottle of red from Martine
6:15 p.m. - 6:45 p.m.: Come home, clean up
6:45 p.m. - 9:00 p.m.: Meeting with Stéphane Nanchen, at home",,MENTEUSE - Adultère
30,photo/gee_me_064.jpg,Zachary,Bonvin,Lens,PS,M,65,"Retraité, membre du board de l'Hôtel Elite","Mari de Delphine
18h00 - 20h00: Séance clôture des comptes, administration Hôtel Elite
20h00 - 21h00: Apéro à l'Hôtel Elite, plateau valaisan","Delphine's husband
6:00 p.m. - 8:00 p.m.: Account closing session, Elite Hotel administration
8:00 p.m. - 9:00 p.m.: Aperitif at the Elite Hotel, Valais plateau",,
31,photo/gee_me_049.jpg,Delphine,Bonvin,Lens,Le Centre,F,58,"Banquière, membre du board de l'Hôtel Elite","Femme de Zachary
18h00 - 20h00: Séance clôture des comptes, administration Hôtel Elite
20h00 - 21h00: Apéro à l'Hôtel Elite, plateau valaisan","Zachary's wife
6:00 p.m. - 8:00 p.m.: Account closing session, Elite Hotel administration
8:00 p.m. - 9:00 p.m.: Aperitif at the Elite Hotel, Valais plateau",,
32,photo/gee_me_071.jpg,Théodore,Bonvin,Lens,PS,M,41,"Comptable + trompettiste à l'écho des bois, Crans-Montana","Mari de Charlotte Bonvin
18h00 - 21h00: AG, Echo des Bois Crans Montana","Husband of Charlotte Bonvin
6:00 p.m. - 9:00 p.m.: AGM, Echo des Bois Crans Montana",,
33,photo/gee_me_054.jpg,Esther,Rey,Crans-Montana,PLR,F,28,Journaliste,"18h00 - 19h00: Conférence de presse Alaïa Chalet
19h00 - 19h30: Apéro Alaïa Chalet
19h30 - 19h45: Rentrer à la maison
19h45 - 20h15: Faire une salade
20h15 - 20h30: Yoga + méditation
20h30 - 21h00: TikTok au lit","6:00 p.m. - 7:00 p.m.: Alaïa Chalet press conference
7:00 p.m. - 7:30 p.m.: Apéro Alaïa Chalet
7:30 p.m. - 7:45 p.m.: Go home
7:45 p.m. - 8:15 p.m.: Make a salad
8:15 p.m. - 8:30 p.m.: Yoga + meditation
8:30 p.m. - 9:00 p.m.: TikTok in bed",3x Gazette de Lens,X
34,photo/gee_me_075.jpg,Gérard,Rey,Crans-Montana,Le Centre,M,83,Retraité,"17h40: Prendre le bus B421 à Crans-Montana, Vernaziet
17h47: Arrivée à Ycoor
17h50 - 18h25: Faire les courses à la Coop
18h30: Prendre le bus B421 à Crans-Montana, Ycoor
18h37: Sortie à Crans-Montana, Vernaziet
18h45 - 19h30: Préparer le repas
19h30 - 21h00: Repas avec les petits enfants et les enfants
21h00 - 21h30: Vaisselle
21h30: Au lit","5:40 p.m.: Take bus B421 to Crans-Montana, Vernaziet
5:47 p.m.: Arrival in Ycoor
5:50 p.m. - 6:25 p.m.: Shopping at the Coop
6:30 p.m.: Take bus B421 to Crans-Montana, Ycoor
6:37 p.m.: Exit to Crans-Montana, Vernaziet
6:45 p.m. - 7:30 p.m.: Prepare the meal
7:30 p.m. - 9:00 p.m.: Meal with grandchildren and children
9:00 p.m. - 9:30 p.m.: Dishes
9:30 p.m.: In bed",,X
35,photo/gee_me_055.jpg,Francine,Rey,Crans-Montana,PS,F,44,Employée à la Station-Service Jubin,"18h00 - 19h15: Travail
19h15 - 19h20: Xavier est venu acheter des nouilles instantanées, il avait l'air très fatigué et rigolé seul devant le rayon de journaux
19h20 - 19h55: Travail
19h55 - 20h00: Un client visiblement ivre qui a essayé de voler un Tribolo
20h00 - 22h00: Travail et fermeture","6:00 p.m. - 7:15 p.m.: Work
7:15 p.m. - 7:20 p.m.: Xavier came to buy instant noodles, he seemed very tired and laughing alone in front of the newspaper aisle
7:20 p.m. - 7:55 p.m.: Work
7:55 p.m. - 8:00 p.m.: A visibly drunk customer who tried to steal a Tribolo
8:00 p.m. - 10:00 p.m.: Work and closing",,X
36,photo/gee_me_077.jpg,Gabriel,Rey,Crans-Montana,MDC,M,63,Infimier,Travail à l'hôpital de Sion - 17h00 à 02h00,Work at Sion hospital - 5:00 p.m. to 2:00 a.m.,,
37,photo/gee_me_079.jpg,Aurélius,Rey,Crans-Montana,PLR,M,28,Policier,En vacances aux Maldives avec son copain Hector,On vacation in the Maldives with her boyfriend Hector,,X
38,photo/gee_me_081.jpg,Hector,Rey,Crans-Montana,Le Centre,M,33,Policier + secrétaire du comité de la course du Christ-Roi,En vacances aux Maldives avec son copain Aurélius,On vacation in the Maldives with her boyfriend Aurélius,Résultat des 3 dernières années à la course,X
39,photo/gee_me_057.jpg,Martine,Rey,Crans-Montana,MDC,F,64,Directrice de l'Office du Tourisme de Crans-Montana,"18h00 - 18h30: Travail
18h30 - 19h20: Boire des verres afterwork @ Beach Club, Xavier est parti avant tout le monde, sans payer sa tournée!
19h50 - 20h00: Rentrer à la maison
20h00 - 21h00: Manger des pâtes pesto devant Orange Is The New Black","6:00 p.m. - 6:30 p.m.: Work
6:30 p.m. - 7:20 p.m.: Drinking afterwork drinks @ Beach Club, Xavier left before everyone else, without paying for his round!
7:50 p.m. - 8:00 p.m.: Go home
8:00 p.m. - 9:00 p.m.: Eat pesto pasta in front of Orange Is The New Black",,X
